Time (s),X Axis (m/s^2),Y Axis (m/s^2),Z Axis (m/s^2)
5.033313144,-0.499445304,1.068302298,0.299770936
5.033918837,-0.338978996,0.613248587,0.359646424
5.034524531,-0.118637199,-0.378289499,-0.07864215
5.035130224,0.049014168,-0.06693696,-0.469030334
5.035735918,0.106494637,-0.380684519,-0.519325744
5.036341611,0.228640633,-0.756702585,-0.157677795
5.036947305,0.317256356,-0.208243112,0.081824158
5.037552998,0.278936043,0.177355032,0.112959412
5.038158692,-0.47070507,0.924601126,0.498557557
5.038764385,-0.327003898,1.118597708,0.697344178
5.039370079,-0.310238761,-0.294463816,-0.013976623
5.039975772,-0.149772453,-0.421399851,-0.928874084
5.040581466,0.025063973,-0.335179148,-0.38520465
5.041187159,0.384316903,-0.890823679,-0.203183166
5.041792853,0.573523446,-0.478880319,-0.394784728
5.042398546,0.477722664,-0.160342722,0.050688904
5.04300424,-0.097082023,0.620433645,0.335696229
5.043609933,-0.650331535,1.245533743,0.548852967
5.044215627,-0.226413078,0.141429739,0.132119568
5.04482132,-0.16174755,-0.318414011,-0.543275939
5.045427014,-0.022836418,0.08394927,-0.533695861
5.046032707,0.554363289,-0.756702585,0.02434369
5.046638401,0.434612313,-0.718382273,-0.253478576
5.047244094,0.415452157,-0.234588327,-0.279823791
5.047849788,-0.06355175,0.515052786,-0.260663635
5.048455482,-0.695836906,1.092252493,0.302165955
5.049061175,-0.482680168,0.505472708,0.524902772
5.049666869,-0.238388175,-0.239378366,-0.349279357
5.050272562,-0.176117668,0.019283743,-0.430710021
5.050878256,-0.094687004,-0.483670359,-0.150492736
5.051483949,0.147209969,-0.605816355,0.065059022
5.052089643,0.496882821,-0.126812448,0.22552533
5.052695336,-0.06115673,0.282735891,-0.2319234
5.05330103,-0.504235343,1.101832571,0.156069764
5.053906723,-0.178512687,0.285130911,1.14521283
5.054512417,0.29570118,-0.486065378,-0.248688537
5.05511811,-0.06115673,-0.074122019,-0.394784728
5.055723804,-0.022836418,-0.227403269,0.201575135
5.056329497,0.439402352,-0.847713327,-0.251083557
5.056935191,0.477722664,-0.246563425,0.000393494
5.057540884,0.123259774,0.194120169,-0.203183166
5.058146578,-0.398854484,0.766529837,0.261450623
5.058752271,-0.262338371,0.886280813,0.73566449
5.059357965,-0.26473339,-0.157947702,0.053083924
5.059963658,-0.080316886,-0.263328562,-0.804333068
5.060569352,-0.147377433,-0.428584909,-0.696557189
5.061175045,0.413057137,-1.08721528,-0.339699279
5.061780739,0.453772469,-0.62737153,-0.277428771
5.062386432,0.331626473,-0.090887155,-0.095407287
5.062992126,-0.224018058,0.744974661,0.287795838
5.06359782,-0.506630363,1.128177786,0.63746869
5.064203513,-0.121032218,-0.129207468,-0.006791564
5.064809207,-0.130612297,-0.248958444,-0.708532287
5.0654149,-0.453939933,0.059999075,-0.512140685
5.066020594,0.072964364,-0.727962351,-0.28461383
5.066626287,0.671719246,-0.689642038,0.170439881
5.067231981,0.6046587,-0.193872995,-0.308564025
5.067837674,0.116074715,0.431227102,-0.243898498
5.068443368,-0.849118156,1.183263235,0.862600525
5.069049061,-0.31981884,0.34261138,0.259055604
5.069654755,0.161580086,-0.275303659,-0.210368225
5.070260448,-0.142587394,0.167774954,-0.229528381
5.070866142,0.053804207,-0.359129343,-0.397179748
5.071471835,0.250195809,-0.397449655,-0.013976623
5.072077529,0.44658741,-0.215428171,0.17762494
5.072683222,-0.16653759,0.1366397,-0.143307678
5.073288916,-0.614406242,0.938971243,0.062664002
5.073894609,-0.422804679,0.440807181,0.666208924
5.074500303,0.187925301,-0.284883737,0.007578553
5.075105996,-0.192882804,0.071974173,-0.514535705
5.07571169,-0.037206535,-0.37349946,-0.38520465
5.076317383,0.403477059,-0.7830478,-0.203183166
5.076923077,0.09212452,-0.371104441,-0.236713439
5.07752877,0.053804207,-0.050171823,0.148884705
5.078134464,-0.444359855,0.874305716,0.745244568
5.078740157,-0.379694328,1.037167044,0.699739197
5.079345851,-0.274313468,-0.227403269,-0.004396545
5.079951545,-0.049181633,-0.160342722,-0.775592834
5.080557238,-0.065946769,-0.385474558,-0.658236877
5.081162932,0.537598153,-1.046499948,-0.536090881
5.081768625,0.50167286,-0.562706003,-0.200788146
5.082374319,0.492092782,-0.064541941,-0.057086975
5.082980012,-0.104267082,0.658753958,0.342881287
5.083585706,-0.427594718,0.924601126,0.814700135
5.084191399,-0.140192375,0.009703665,0.256660584
5.084797093,-0.16414257,-0.239378366,-0.380414611
5.085402786,-0.159352531,0.335426321,-0.655841857
5.08600848,0.372341805,-0.747122507,-0.265453674
5.086614173,0.707644539,-0.713592234,-0.102592346
5.087219867,0.422637215,-0.236983347,-0.066667053
5.08782556,0.034644051,0.162984915,-0.148097717
5.088431254,-0.635961418,0.95573638,0.551247986
5.089036947,-0.271918449,0.59887847,0.505742615
5.089642641,-0.109057121,-0.347154245,-0.423524963
5.090248334,-0.01325634,0.251600638,-0.59357135
5.090854028,0.104099617,-0.234588327,-0.442685119
5.091459721,0.374736825,-0.684851999,-0.059481994
5.092065415,0.578313485,-0.131602487,0.151279725
5.092671108,0.238220711,0.079159231,-0.150492736
5.093276802,-0.396459465,1.15931304,0.201575135
5.093882495,-0.513815422,0.426437063,0.730874451
5.094488189,0.204690438,-0.569891062,-0.260663635
