Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0.186035,0.57219768,1.10433132
0.186523,0.57727926,1.10433132
0.187012,0.58211559,1.10459619
0.1875,0.57775014,1.1072547
0.187988,0.56864646,1.10699964
0.188477,0.58413645,1.10553795
0.188965,0.57903525,1.1088243
0.189453,0.56666484,1.10573415
0.189941,0.57609225,1.10444904
0.19043,0.58057542,1.10961891
0.190918,0.56985309,1.10717622
0.191406,0.57508182,1.10451771
0.191895,0.57896658,1.10886354
0.192383,0.57318849,1.10651895
0.192871,0.57831912,1.10465505
0.193359,0.58109535,1.10613636
0.193848,0.57911373,1.09854342
0.194336,0.58186053,1.10046618
0.194824,0.58433265,1.10581263
0.195313,0.57943746,1.10581263
0.195801,0.58275324,1.10258514
0.196289,0.57724983,1.10508669
0.196777,0.57107934,1.10508669
0.197266,0.58172319,1.10329146
0.197754,0.57382614,1.10622465
0.198242,0.57082428,1.10113326
0.19873,0.57462075,1.10151585
0.199219,0.57318849,1.10866734
0.199707,0.56921544,1.10699964
0.200195,0.57199167,1.10581263
0.200684,0.57392424,1.10712717
0.201172,0.57204072,1.1038212
0.20166,0.57745584,1.10584206
0.202148,0.57047112,1.10559681
0.202637,0.57775995,1.10272248
0.203125,0.58311621,1.10075067
0.203613,0.57517992,1.10749014
0.204102,0.57927069,1.10294811
0.20459,0.58165452,1.10516517
0.205078,0.57032397,1.10492973
0.205566,0.56898,1.10315412
0.206055,0.57870171,1.10769615
0.206543,0.57240369,1.10703888
0.207031,0.56693952,1.10755881
0.20752,0.57646503,1.10855943
0.208008,0.57315906,1.1119635
0.208496,0.56801862,1.11013884
0.208984,0.57489543,1.10837304
0.209473,0.57369861,1.1100015
0.209961,0.56913696,1.10821608
0.210449,0.58034979,1.10631294
0.210938,0.57478752,1.1081376
0.211426,0.57341412,1.10073105
0.211914,0.58301811,1.10664648
0.212402,0.58209597,1.10630313
0.212891,0.56798919,1.10276172
0.213379,0.57816216,1.10455695
0.213867,0.57877038,1.10674458
0.214355,0.57261951,1.10435094
0.214844,0.57982986,1.10124117
0.215332,0.57834855,1.10410569
0.21582,0.57047112,1.10141775
0.216309,0.57296286,1.10609712
0.216797,0.57647484,1.10853981
0.217285,0.57446379,1.10720565
0.217773,0.57363975,1.10505726
0.218262,0.57049074,1.10966796
0.21875,0.57508182,1.10583225
0.219238,0.58279248,1.10573415
0.219727,0.57166794,1.10683287
0.220215,0.57020625,1.10816703
0.220703,0.58643199,1.1049984
0.221191,0.57487581,1.10585187
0.22168,0.56974518,1.10812779
0.222168,0.58435227,1.10516517
0.222656,0.57830931,1.10581263
0.223145,0.57158946,1.10113326
0.223633,0.57576852,1.1049984
0.224121,0.5767299,1.10644047
0.224609,0.57566061,1.10549871
0.225098,0.57577833,1.10697021
0.225586,0.57287457,1.10815722
0.226074,0.57518973,1.10549871
0.226563,0.58023207,1.10574396
0.227051,0.56654712,1.10741166
0.227539,0.57293343,1.1041155
0.228027,0.58449942,1.10679363
0.228516,0.57010815,1.10978568
0.229004,0.56897019,1.10644047
0.229492,0.58436208,1.10646009
0.22998,0.57303153,1.10527308
0.230469,0.5616225,1.09937727
0.230957,0.57924126,1.1073528
0.231445,0.58242951,1.10918727
0.231934,0.56744964,1.1051946
0.232422,0.57415968,1.10438037
0.23291,0.58142889,1.10983473
0.233398,0.57275685,1.10423322
0.233887,0.56950974,1.10380158
0.234375,0.57563118,1.10556738
0.234863,0.57860361,1.10160414
0.235352,0.57831912,1.10349747
0.23584,0.57686724,1.10614617
0.236328,0.57975138,1.10090763
0.236816,0.58031055,1.1010744
0.237305,0.57208977,1.10353671
0.237793,0.57836817,1.10500821
0.238281,0.58129155,1.10208483
0.23877,0.57324735,1.10273229
0.239258,0.56565441,1.1044098
0.239746,0.57773052,1.10096649
0.240234,0.57530745,1.10491992
0.240723,0.57235464,1.10543985
0.241211,0.57314925,1.10397816
0.241699,0.57612168,1.10307564
0.242188,0.57932955,1.10283039
0.242676,0.57274704,1.10177091
0.243164,0.57024549,1.10143737
0.243652,0.58029093,1.09843551
0.244141,0.57827988,1.10162376
0.244629,0.57001986,1.10594016
0.245117,0.58402854,1.10102535
0.245605,0.58469562,1.10187882
0.246094,0.57360051,1.10445885
