Time (s),X Accel (m/s^2),Y Accel (m/s^2)
18.591870999999998,1.95376941,0.83628288
18.592359,1.95759531,0.84365019
18.592847999999996,1.95223905,0.84490587
18.593336,1.98092349,0.85948353
18.593823999999998,1.97403687,0.89010054
18.594313,2.00043558,0.89587863
18.594800999999997,1.99316637,0.90286335
18.595289,2.00120076,0.86575212
18.595777,2.01191328,0.83776419
18.596266,2.0073222,0.82985733
18.596753999999997,2.00655702,0.83488005
18.597242,2.01725973,0.87076503
18.59773,2.01687714,0.8801532
18.598219,2.0222334,0.90046971
18.598706999999997,2.03141556,0.89560395
18.599195,2.00196594,0.89446599
18.599684,1.99890522,0.8705394
18.600172,1.96983819,0.82108719
18.600659999999998,1.95491718,0.79970139
18.601148,1.96677747,0.8025561
18.601636999999997,1.95759531,0.82815039
18.602125,1.96333416,0.87490485
18.602612999999998,1.98207126,0.88398891
18.603102,1.9805409,0.88129116
18.603589999999997,2.00158335,0.8890803
18.604078,2.00311371,0.88823664
18.604566,1.99622709,0.86073921
18.605055,1.98781011,0.83677338
18.605542999999997,2.00540925,0.82875861
18.606031,1.99660968,0.85694274
18.60652,2.0073222,0.87672951
18.607008,1.99890522,0.92333682
18.607495999999998,1.99660968,0.91581255
18.607984,2.00770479,0.89420112
18.608472999999996,1.9805409,0.87737697
18.608961,1.97901054,0.8474859
18.609448999999998,1.95989085,0.85706046
18.609938,1.96409934,0.82249002
18.610425999999997,1.95185646,0.84259071
18.610914,1.9843668,0.84460176
18.611402,1.98092349,0.91550844
18.611891,1.99278378,0.91706823
18.612378999999997,2.00693961,0.92948769
18.612867,2.01266865,0.88421454
18.613355,2.01649455,0.8663211
18.613844,2.01955527,0.85610889
18.614331999999997,2.0145816,0.8486631
18.61482,1.99622709,0.8658306
18.615309,2.03715441,0.85117446
18.615797,2.00196594,0.89150337
18.616284999999998,2.01228606,0.90385416
18.616773,2.00311371,0.90692469
18.617261999999997,1.98092349,0.8806437
18.61775,1.9920186,0.83742084
18.618237999999998,1.97824536,0.80483202
18.618727,1.96907301,0.82420677
18.619214999999997,1.98283644,0.81987075
18.619703,1.97939313,0.85507884
18.620191,1.99087083,0.85409784
18.62068,2.01343383,0.88877619
18.621167999999997,2.01266865,0.89036541
18.621656,2.03600664,0.89971434
18.622145,2.00426148,0.85971897
18.622633,2.03179815,0.83547846
18.623120999999998,2.02185081,0.822078
18.623609,2.0073222,0.82291185
18.624097999999996,2.00540925,0.85265577
18.624586,1.99660968,0.86692932
18.625073999999998,1.9920186,0.88429302
18.625563,1.9996704,0.87100047
18.626050999999997,1.97480205,0.88573509
18.626539,1.97518464,0.87031377
18.627027,1.96677747,0.84436632
18.627516,1.94841315,0.8197236
18.628003999999997,1.98474939,0.82047897
18.628492,1.94917833,0.85109598
18.62898,1.99316637,0.88512687
18.629469,1.97633241,0.93013515
18.629956999999997,2.00579184,0.90115641
18.630445,2.01687714,0.91372302
18.630934,2.01038292,0.88664742
18.631422,2.01419901,0.87733773
18.631909999999998,2.01496419,0.87817158
18.632398,2.00005299,0.82971018
18.632886999999997,2.00923515,0.87368841
18.633375,2.00158335,0.85891455
18.633862999999998,1.97098596,0.91832391
18.634352,1.99087083,0.8983017
18.634839999999997,1.96601229,0.87494409
18.635328,1.98589716,0.86958783
18.635816,1.99507932,0.83908854
18.636305,1.96754265,0.83514492
18.636792999999997,1.98934047,0.83894139
18.637281,1.98742752,0.82416753
18.63777,1.99699227,0.8580807
18.638258,2.01153069,0.89439732
18.638745999999998,2.01343383,0.90594369
18.639234,2.01572937,0.90856296
18.639722999999996,2.02491153,0.87441435
18.640211,2.02835484,0.85998384
18.640698999999998,2.01611196,0.84095244
18.641188,2.0073222,0.82268622
18.641675999999997,1.99775745,0.85868892
